"Tree_Taxa_Name","Ln_PopSize","external_warfare_High","strat_High","political_complexity_High","ag_High"
"CentralAmis",9.90348755253613,"0","0","0","1"
"Anuta",4.8283137373023,"0","0","0","1"
"Sika",8.69951474821019,"0","0","0","1"
"SquliqAtayal",10.3089526606443,"1","0","1","1"
"Atoni",11.6526874073454,"1","0","1","1"
"BerawanLongTerawan",7.37775890822787,"1","0","0","1"
"BontokGuinaang",10.3089526606443,"1","1","0","1"
"Binukid",9.90348755253613,"0","0","0","1"
"Bunun",9.47270463644367,"1","0","0","1"
"Chamorro",10.5966347330961,"0","1","0","1"
"VaghuaChoiseul",9.10497985631836,"1","0","0","1"
"Chuukese",9.39266192877014,"0","0","0","1"
"ESUmbuRatuNggai_D",11.0020998412042,"1","1","0","1"
"Baree",10.3089526606443,"1","1","0","1"
"Ura",8.51719319141624,"0","0","0","1"
"FutunaEast",6.90775527898214,"0","0","0","1"
"FutunaWest",6.90775527898214,"0","0","0","1"
"Gaddang",7.82404601085629,"0","0","0","1"
"Hawaiian",12.4292161968444,"0","1","1","1"
"Iban",11.9183905730784,"1","0","0","1"
"IfugaoBatad",11.2252433925184,"0","0","0","1"
"IsnegDibagatKabugaoIsneg",9.21034037197618,"1","0","0","1"
"KalingaGuinaangLubuagan_D",10.3089526606443,"0","0","0","1"
"Kapingamarangi",5.7037824746562,"0","0","0","0"
"Kedang",9.30565055178051,"0","0","0","1"
"Kiribati",10.4631033404715,"0","0","0","1"
"Kwaio",8.9226582995244,"0","0","0","1"
"KwaraaeSolomonIslands",9.10497985631836,"0","0","0","1"
"Lakalai",8.00636756765025,"0","0","0","1"
"Lau",8.61250337122056,"0","0","0","0"
"Dehu",8.85366542803745,"0","1","1","1"
"Manam",8.29404964010203,"0","0","0","0"
"Mangareva",7.3132203870903,"0","0","0","0"
"Manggarai",12.0435537160324,"1","1","1","1"
"Levei",7.60090245954208,"1","0","0","0"
"Maori",11.5129254649702,"0","0","0","0"
"Nengone",8.36637030168165,"0","1","0","1"
"Marquesan",10.4631033404715,"0","0","0","1"
"Marshallese",9.10497985631836,"0","1","1","1"
"Mekeo",9.61580548008435,"0","0","0","1"
"Tontemboan",11.4075649493124,"1","0","0","1"
"Moken",6.90775527898214,"1","0","0","0"
"Motu",8.41183267575841,"1","0","0","0"
"Nias",12.2060726455302,"0","1","0","1"
"Luangiua",7.60090245954208,"0","0","0","0"
"Paiwan",9.90348755253613,"0","0","0","1"
"Palauan",10.1266311038503,"0","1","0","1"
"PalawanBatak",6.5510803350434,"0","0","0","0"
"Ponapean",9.21034037197618,"0","0","0","0"
"Puyuma",8.29404964010203,"1","0","0","0"
"RapanuiEasterIsland",8.00636756765025,"0","0","1","1"
"Rarotongan",8.85366542803745,"0","1","0","1"
"Rennellese",7.27931883541462,"0","0","0","1"
"RotiTermanu_D",10.5966347330961,"0","1","0","0"
"Roviana",8.1605182474775,"1","1","0","1"
"SamalSiasi_D",7.37775890822787,"0","0","0","0"
"Samoan",11.0020998412042,"0","1","1","1"
"Savu",10.3089526606443,"0","1","0","0"
"Simbo",6.21460809842219,"1","0","0","1"
"TaeSToraja",11.6952470217642,"0","1","1","1"
"SubanonSiocon",10.8197782844103,"1","0","0","1"
"TagbanwaAborlan_D",8.85366542803745,"0","1","0","1"
"TahitianModern",10.7144177687525,"0","1","1","1"
"TannaSouthwest",8.85366542803745,"0","0","0","1"
"Tetum",11.1562505210315,"1","1","1","1"
"Tikopia",6.90775527898214,"0","0","0","1"
"ItnegBinongan",9.21034037197618,"1","0","0","1"
"TobaBatak",11.6952470217642,"0","0","1","1"
"Tokelau",6.62007320653036,"0","0","0","1"
"Kuanua",10.3089526606443,"1","0","0","1"
"Tongan",10.4631033404715,"1","1","1","0"
"Kilivila",8.98719682066197,"0","1","0","1"
"Tsou",7.17011954344963,"1","0","0","1"
"Waropen",8.85366542803745,"1","0","0","0"
"Wogeo",6.90775527898214,"0","0","0","1"
"Woleai",5.7037824746562,"0","0","0","1"
